PID,SalePrice
907135180,127489.17592189221
528181040,219207.25099099273
528175010,218573.77540997625
531379030,185467.45753327166
923275090,129232.13187744112
528181070,226370.5567506442
908103280,146745.57962203576
902201110,126216.89923260933
905103070,139059.19374094566
527162180,177194.79568844693
905450020,144940.92293292095
535301150,156152.07145153004
535451170,80272.22724585362
909250060,201505.35646907846
527254020,327088.83553091984
911128180,77682.80818391932
534475170,175611.0755724311
535402180,120957.33805629006
528235180,182320.26375215172
907200130,127931.00809136454
906476030,191558.130084818
923203090,146617.45471879467
903454020,79220.37184053636
534277060,114646.08955433723
535450220,135195.83765535042
527252090,292644.5840812325
535300040,131890.02262424916
533241010,226993.03123685118
903201090,107933.6184867747
921128030,338227.1782504308
535180020,152181.35819633174
527106050,166041.47973215746
903233050,128358.32136358347
527105010,161535.37950525392
907196050,212766.17354672693
535375010,86623.12542635768
909455040,185225.9187263945
911370410,253473.89558853727
906223080,202212.32318539673
902204080,89159.3916084557
916225130,281874.20010335644
534400060,160194.87749502755
528178090,357033.25078502734
528235190,195619.08244439506
906477110,160486.78800464456
902106090,127053.12200658383
535327160,117559.5812640438
909129100,123661.02689633176
909281110,213533.98133932106
528188120,198041.1236355111
528150120,332619.2706348649
535125060,216529.90469313526
906380120,196353.634943259
527451020,116878.70300678113
528429100,270312.72669783887
527132090,257039.65064946204
902427045,107730.22912445724
923276260,143208.24550590006
907290140,140391.10704817544
906380100,279186.8649208854
527377110,178241.10058933435
535379110,122990.68606540427
527427230,175307.06677511588
905105010,133452.11829122147
533215080,250011.0856013467
903484080,60307.37706545102
528441080,257137.3323958275
528120100,247094.68855716856
902301060,94822.16956907492
528231050,179974.92557093428
535353190,144312.09221823522
907201280,142820.30898235686
528315080,291696.35775988165
531375060,161940.6093177495
906200230,166191.15746038684
527451550,107520.37756482096
902103090,100321.49695225373
534401190,147405.89655762527
909425085,285513.8284216517
526352080,180920.501128083
907126050,157560.09906494565
905352180,222881.93016318697
533212060,146524.47729042446
527356050,128637.66877126503
534479240,139990.46620102157
906226130,126808.66614914939
923228210,83347.17564321493
903227080,128098.19499229782
535179120,118377.19324914705
908201100,87889.41875956209
532479050,132396.81897146735
534402060,132186.23445740927
